region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Eastern,medium,2.0,0.004383,0.0,0.004383,120,True,748,0.5,93.6,task_000066,predictive_lr,api_request,0.2704525011563637,2025-11-09T11:33:54.166155
Eastern,medium,2.0,0.144896,0.0,0.144896,120,True,748,0.5,93.6,task_000067,predictive_lr,data_processing,8.940534512440573,2025-11-09T11:38:01.207566
Northern,medium,2.0,0.571801,0.0,0.571801,70,True,533,0.5,93.6,task_000068,predictive_lr,ml_inference,49.51374662027173,2025-11-09T11:47:34.056777
Eastern,medium,2.0,0.016207,0.0,0.016207,120,True,748,0.5,93.6,task_000069,predictive_lr,api_request,1.0,2025-11-09T11:50:24.246896
Northern,medium,2.0,0.298285,0.0,0.298285,70,True,533,0.5,93.6,task_000070,predictive_lr,ml_inference,25.82925065730994,2025-11-09T11:50:26.225428
Northern,medium,2.0,0.211814,0.0,0.211814,70,True,533,0.5,93.6,task_000071,predictive_lr,data_processing,18.341514431527333,2025-11-09T11:53:06.062384
Eastern,medium,2.0,0.002335,0.0,0.002335,120,True,748,0.5,93.6,task_000072,predictive_lr,api_request,0.14406594882830376,2025-11-09T11:54:47.658766
Northern,medium,2.0,0.558474,0.0,0.558474,70,True,533,0.5,93.6,task_000073,predictive_lr,data_processing,48.35971027045946,2025-11-09T11:54:47.786529
Eastern,medium,2.0,0.007522,0.0,0.007522,120,True,748,0.5,93.6,task_000074,predictive_lr,api_request,0.46411543465773064,2025-11-09T11:54:57.718912
Eastern,medium,2.0,0.004875,0.0,0.004875,120,True,748,0.5,93.6,task_000075,predictive_lr,api_request,0.300779977793877,2025-11-09T11:55:30.958464
Northern,medium,2.0,0.433591,0.0,0.433591,70,True,533,0.5,93.6,task_000076,predictive_lr,ml_inference,37.54579402036174,2025-11-09T11:56:30.041641
Eastern,medium,2.0,0.103251,0.0,0.103251,120,True,748,0.5,93.6,task_000077,predictive_lr,data_processing,6.370893837909444,2025-11-09T12:03:54.444986
Eastern,medium,2.0,0.13614,0.0,0.13614,120,True,748,0.5,93.6,task_000078,predictive_lr,data_processing,8.40022477295249,2025-11-09T12:04:27.472486
Eastern,medium,2.0,0.003487,0.0,0.003487,120,True,748,0.5,93.6,task_000079,predictive_lr,api_request,0.2151438833582015,2025-11-09T12:04:53.266609
Eastern,medium,2.0,0.009046,0.0,0.009046,120,True,748,0.5,93.6,task_000080,predictive_lr,api_request,0.55815086061475,2025-11-09T12:07:04.748893
Northern,medium,2.0,2.959821,0.0,2.959821,70,True,533,0.5,93.6,task_000081,predictive_lr,scheduled_job,256.29850681437256,2025-11-09T12:08:13.376550
Northern,medium,2.0,0.358828,0.0,0.358828,70,True,533,0.5,93.6,task_000082,predictive_lr,ml_inference,31.071801344942628,2025-11-09T12:09:41.366026
Eastern,medium,2.0,0.014569,0.0,0.014569,120,True,748,0.5,93.6,task_000083,predictive_lr,api_request,0.8989818805963353,2025-11-09T12:10:50.131725
Northern,medium,2.0,4.390847,0.0,4.390847,70,True,533,0.5,93.6,task_000084,predictive_lr,scheduled_job,380.2147949268615,2025-11-09T12:12:12.669617
Eastern,medium,2.0,0.016207,0.0,0.016207,120,True,748,0.5,93.6,task_000085,predictive_lr,api_request,1.0,2025-11-09T12:14:38.367383
Northern,medium,2.0,0.523601,0.0,0.523601,70,True,533,0.5,93.6,task_000086,predictive_lr,data_processing,45.33992810037179,2025-11-09T12:14:54.592709
Northern,medium,2.0,0.196126,0.0,0.196126,70,True,533,0.5,93.6,task_000087,predictive_lr,data_processing,16.983097635123578,2025-11-09T12:15:52.195915
Eastern,medium,2.0,0.003908,0.0,0.003908,120,True,748,0.5,93.6,task_000088,predictive_lr,api_request,0.24110691284307934,2025-11-09T12:16:28.394621
Northern,medium,2.0,0.200866,0.0,0.200866,70,True,533,0.5,93.6,task_000089,predictive_lr,ml_inference,17.39350564953565,2025-11-09T12:17:26.278575
Northern,medium,2.0,4.522318,0.0,4.522318,70,True,533,0.5,93.6,task_000090,predictive_lr,scheduled_job,391.5991874023173,2025-11-09T12:24:03.080251
Eastern,medium,2.0,0.004232,0.0,0.004232,120,True,748,0.5,93.6,task_000091,predictive_lr,api_request,0.26115494996237926,2025-11-09T12:24:03.111018
Northern,medium,2.0,4.62979,0.0,4.62979,70,True,533,0.5,93.6,task_000092,predictive_lr,scheduled_job,400.9055111836494,2025-11-09T12:24:50.345455
Eastern,medium,2.0,0.009811,0.0,0.009811,120,True,748,0.5,93.6,task_000093,predictive_lr,api_request,0.6053440613609762,2025-11-09T12:30:46.712923
Northern,medium,2.0,1.213019,0.0,1.213019,70,True,533,0.5,93.6,task_000094,predictive_lr,batch_analytics,105.03844439454532,2025-11-09T12:32:19.898307
Northern,medium,2.0,0.514837,0.0,0.514837,70,True,533,0.5,93.6,task_000095,predictive_lr,ml_inference,44.581064977334464,2025-11-09T12:34:23.927549
Eastern,medium,2.0,0.008045,0.0,0.008045,120,True,748,0.5,93.6,task_000096,predictive_lr,api_request,0.4963755792242603,2025-11-09T12:36:04.204630
Eastern,medium,2.0,0.016207,0.0,0.016207,120,True,748,0.5,93.6,task_000097,predictive_lr,api_request,1.0,2025-11-09T12:36:14.601671
Eastern,medium,2.0,0.005904,0.0,0.005904,120,True,748,0.5,93.6,task_000098,predictive_lr,api_request,0.36429621746124935,2025-11-09T12:38:54.947310
Eastern,medium,2.0,0.004705,0.0,0.004705,120,True,748,0.5,93.6,task_000099,predictive_lr,api_request,0.29031286299614606,2025-11-09T12:39:28.743552
Eastern,medium,2.0,0.130451,0.0,0.130451,120,True,748,0.5,93.6,task_000100,predictive_lr,data_processing,8.049239287704852,2025-11-09T12:42:04.359153
Eastern,medium,2.0,0.128986,0.0,0.128986,120,True,748,0.5,93.6,task_000101,predictive_lr,ml_inference,7.958823493411299,2025-11-09T12:45:25.136161
