ci_value,strategy,task_id,region,server_age,duration_s,total_carbon_g,timestamp
175.0,balanced,173,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803095
175.0,balanced,174,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803096
175.0,balanced,175,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803096
175.0,balanced,176,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803098
175.0,balanced,177,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803099
175.0,balanced,178,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803100
175.0,balanced,179,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803101
175.0,balanced,180,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803101
175.0,balanced,181,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803102
175.0,balanced,182,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803103
175.0,balanced,183,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803104
175.0,balanced,184,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803104
175.0,balanced,185,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803105
175.0,balanced,186,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803106
175.0,balanced,187,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803107
175.0,balanced,188,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803108
175.0,balanced,189,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803108
175.0,balanced,190,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803109
175.0,balanced,191,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803110
175.0,balanced,192,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803114
175.0,balanced,193,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803115
175.0,balanced,194,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803116
175.0,balanced,195,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803117
175.0,balanced,196,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803117
175.0,balanced,197,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803118
175.0,balanced,198,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803119
175.0,balanced,199,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803120
175.0,balanced,200,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803121
175.0,balanced,201,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803122
175.0,balanced,202,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803122
175.0,balanced,203,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803123
175.0,balanced,204,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803124
175.0,balanced,205,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803125
175.0,balanced,206,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803125
175.0,balanced,207,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803126
175.0,balanced,208,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803127
175.0,balanced,209,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803128
175.0,balanced,210,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803128
175.0,balanced,211,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803129
175.0,balanced,212,Northern,medium,14400.0,101.09635865845311,2025-11-09T22:09:36.803130
